"Item Type","Author","Title",
"book","Silvestre, Achille"
"book","Indochine française","Régime forestier de l'Indochine :  Arrêté du gouverneur général du 21 mars 1930"
"book","Le-Phat-Loi","Deuxième expertise des variétés de la province de Rachgia
"book","Auriol, Roger F."
"book","Brévié, Jules"
"book","Guillemain, Résident supérieur"
"book","Bonvicini, Henri; Ballous
"book","OFFICE CENTRAL DU TOURISME INDOCHINOIS","Glimpses of a great tourist country :  French Indo-China at the beginning of 1938"
"book","Philippe, R."
"book","Cho, Huan-lai"
"book","Visme, Maurice de"
"book","Dain, Gabrielle"
"book","Carton, Paul"
"book","Office indochinois du riz","Comité consultatif de l'office Indochinois du riz au Cambodge. Procès verbal de la       séance du 6 juillet 1939"
"book","Le-Phat-Loi; Duong-Van-Khue","Comportement des variétés [de riz] en milieu salé pendant cinq campagnes à la station       de Phuoc-Ly
"book","Dénisse, Paul M."
"book","Bernard, Henry"
"book","Chevey, Pierre; Le Poulain
"book","Morin, Henry Gabriel Sully"
"book","Dorolle, Pierre; Lafrique
"book","Delom, André; Matyus
"book","Delom, André; Matyus
"book","Reynes, Victor Pierre; Delbove
"book","Groslier, George"
"book","Tran, Thuc Ky; Auriol
"book","Auriol, Roger-F.; Office indochinois du riz"
"book","Hunier, Jean"
"book","Huet, Gérard"
"book","","L'Imitation de Jésus-Christ"
"book","Église catholique","Messes de communion avec chants français sur des mélodies grégoriennes"
"book","Institut Pasteur au Viet-Nam","Instituts Pasteur d'Indochine. Notice sur l'Institut Pasteur de Nhatrang"
"book","Toumanoff, Constantin"
"book","Tcheou Ta-Kouan; Sauvaire-Jourdan, P."
"book","Malleret, Louis"
"book","Dalex, Louis"
"book","Dalex, Louis"
"book","Dalex, Louis; Cuny
"book","Moreteau, Frantz; Condamy
"book","Saint-Marty, Mme; Pasqualini
"book","École supérieure des cadres de jeunesse d'Indochine","Commissariat général à l'éducation physique
"book","Edo","Hep ! cyclo.
"book","Lafferranderie, Dominique; Robin
"book","André-Michel","André Michel. L'Or des paillotes"
"book","France; Indochine française","Commissariat général
"book","Tran, Thuc Ky; Auriol
"book","Glaize, Maurice; Cœdès
"book","Auburtin, Jacques"
"book","Hautecloque, W. de"
"book","Parmentier, Henri"
"book","Cambodge","Projet de budget pour l'exercice..."
"book","Lê Quang Hộ; Vuơn̛g Quang Nhuơn̛g","Về khế uớc̛ lao động. Du contrat de travail. Có bài tụa̛ của ông Esquivillon
"book","Office indochinois du riz","Tuc̛ mề giào khoa yều luợc̛"
"book","Nguyêñ, Tươǹg Phượng"
